Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2013-08-15 08:25:32,Cycling,,3.08,15:20,4:59,12.04,165.0,76.14,,,2013-08-15-0825.gpx
2013-08-15 06:47:05,Running,,4.07,28:39,7:03,8.51,560.0,52.70,,,2013-08-15-0647.gpx
2013-08-13 06:52:58,Running,,4.07,28:23,6:58,8.61,556.0,50.73,,,2013-08-13-0652.gpx
2013-08-12 06:42:01,Running,,3.28,23:38,7:12,8.33,454.0,48.45,,,2013-08-12-0642.gpx
2013-08-11 09:52:12,Running,,8.07,1:00:50,7:33,7.95,1155.0,140.99,,,2013-08-11-0952.gpx
2013-08-10 15:49:36,Running,,4.04,27:10,6:44,8.92,562.0,54.09,,,2013-08-10-1549.gpx
2013-08-08 07:00:20,Running,,4.12,28:20,6:53,8.71,567.0,54.82,,,2013-08-08-0700.gpx
2013-08-07 17:16:47,Cycling,,3.00,12:23,4:08,14.51,147.0,52.45,,,2013-08-07-1716.gpx
2013-08-07 08:02:02,Cycling,,3.10,15:27,4:59,12.04,167.0,78.51,,,2013-08-07-0802.gpx
2013-08-07 06:54:44,Running,,1.17,7:40,6:33,9.17,146.0,9.82,,,2013-08-07-0654.gpx
2013-08-06 17:12:32,Cycling,,3.13,11:51,3:47,15.85,139.0,38.56,,,2013-08-06-1712.gpx
2013-08-06 08:15:13,Cycling,,3.06,15:34,5:06,11.77,167.0,76.75,,,2013-08-06-0815.gpx
2013-08-06 06:43:46,Running,,3.02,21:24,7:06,8.46,413.0,35.55,,,2013-08-06-0643.gpx
2013-08-03 13:09:38,Running,,2.99,21:54,7:20,8.18,401.0,28.16,,,2013-08-03-1309.gpx
2013-08-01 06:54:30,Running,,3.17,22:23,7:03,8.50,435.0,49.45,,,2013-08-01-0654.gpx
2013-07-31 17:15:24,Cycling,,3.07,12:48,4:10,14.39,148.0,63.50,,,2013-07-31-1715.gpx
2013-07-31 08:28:59,Cycling,,3.08,16:00,5:12,11.53,165.0,67.54,,,2013-07-31-0828.gpx
2013-07-30 06:55:09,Running,,3.35,23:51,7:07,8.43,453.0,41.24,,,2013-07-30-0655.gpx
2013-07-29 06:53:56,Running,,3.28,23:39,7:13,8.31,459.0,50.45,,,2013-07-29-0653.gpx
2013-07-28 12:07:00,Running,,6.00,46:36,7:46,7.72,839.0,73.52,,,2013-07-28-1207.gpx
2013-07-27 06:48:53,Running,,4.02,27:55,6:57,8.64,544.0,44.06,,,2013-07-27-0648.gpx
2013-07-25 06:53:27,Running,,4.00,28:27,7:06,8.44,564.0,53.55,,,2013-07-25-0653.gpx
2013-07-23 14:07:00,Running,,2.70,19:00,7:02,8.53,371.0,,,,
